outcome,model,modality,metric,mean_marginal,base_value_M0,full_value_M7,permutation_1,permutation_2,permutation_3,permutation_4,permutation_5,permutation_6,n_permutations_defined
q1,logistic,nir,roc_auc_ovr_macro,0.00508031787296546,0.6679051024524582,0.6736876359104486,0.008820200586784566,0.008820200586784566,0.0028680466086016265,0.003242419262719287,0.003488620930183428,0.003242419262719287,6
q1,logistic,mmwave,roc_auc_ovr_macro,-0.009536376366465779,0.6679051024524582,0.6736876359104486,-0.01693277602050225,-0.0061901465870393135,-0.01098062204231931,-0.01098062204231931,-0.0061901465870393135,-0.005943944919575173,6
q1,logistic,rgb,roc_auc_ovr_macro,0.01023859195149072,0.6679051024524582,0.6736876359104486,0.013895108891708086,0.00315247945824515,0.013895108891708086,0.013520736237590425,0.008484059114846287,0.008484059114846287,6
q1,random_forest,nir,roc_auc_ovr_macro,0.0032299591052111776,0.6203301517930299,0.6633890885739012,0.003778425485484016,0.003778425485484016,0.014655777612932241,0.0007347795200228768,-0.004302432992678962,0.0007347795200228768,6
q1,random_forest,mmwave,roc_auc_ovr_macro,0.021053932734116265,0.6203301517930299,0.6633890885739012,0.03510090098062657,0.015937603410138723,0.024223548853178345,0.024223548853178345,0.015937603410138723,0.010900390897436885,6
q1,random_forest,rgb,roc_auc_ovr_macro,0.018775044941543917,0.6203301517930299,0.6633890885739012,0.004179610314760773,0.02334290788524862,0.004179610314760773,0.018100608407670138,0.0314237663634116,0.0314237663634116,6
q2,logistic,nir,roc_auc_ovr_macro,-0.002884390876376356,0.5931110204208406,0.5800753374788692,-0.0015796780774879338,-0.0015796780774879338,-0.003942329215365525,-0.0035820352811587464,-0.003040589325599252,-0.0035820352811587464,6
q2,logistic,mmwave,roc_auc_ovr_macro,-0.012807313720865557,0.5931110204208406,0.5800753374788692,-0.01989101031338969,-0.007479199872112985,-0.017528359175512098,-0.017528359175512098,-0.007479199872112985,-0.006937753916553491,6
q2,logistic,rgb,roc_auc_ovr_macro,0.002656021655270476,0.5931110204208406,0.5800753374788692,0.008435005448906185,-0.0039768049923705195,0.008435005448906185,0.008074711514699406,-0.002515893744259201,-0.002515893744259201,6
q2,random_forest,nir,roc_auc_ovr_macro,0.0064138267315759405,0.5655942457224524,0.5602534032387787,-0.0039234061988115965,-0.0039234061988115965,0.015331270482536796,0.015100007934238269,0.0007984864360655042,0.015100007934238269,6
q2,random_forest,mmwave,roc_auc_ovr_macro,-0.0013966346140076118,0.5655942457224524,0.5602534032387787,0.0017418095480328244,0.013068546177575135,-0.01751286713331557,-0.01751286713331557,0.013068546177575135,-0.001232975320597629,6
q2,random_forest,rgb,roc_auc_ovr_macro,-0.010358034601242053,0.5655942457224524,0.5602534032387787,-0.0031592458328949524,-0.014485982462437264,-0.0031592458328949524,-0.002927983284596425,-0.019207875097314364,-0.019207875097314364,6
q1,logistic,nir,balanced_accuracy,0.0019745607807949983,0.47460275611946945,0.4851748164203901,6.528122955778981e-05,6.528122955778981e-05,0.003228745141548972,0.0024620087877815777,0.0035640395085422827,0.0024620087877815777,6
q1,logistic,mmwave,balanced_accuracy,-0.003545509691359666,0.47460275611946945,0.4851748164203901,0.0008644260814339999,-0.006213813096412779,-0.0022990378305571824,-0.0022990378305571824,-0.006213813096412779,-0.005111782375652074,6
q1,logistic,rgb,balanced_accuracy,0.01214300921148534,0.47460275611946945,0.4851748164203901,0.009642352989928882,0.01672059216777566,0.009642352989928882,0.010409089343696276,0.013221833888791168,0.013221833888791168,6
q1,random_forest,nir,balanced_accuracy,-0.0061951068233016176,0.4837154704247813,0.480796195551974,-0.00416941537928156,-0.00416941537928156,-0.010442025324293225,-0.00438044448953312,-0.009628895877887123,-0.00438044448953312,6
q1,random_forest,mmwave,balanced_accuracy,-0.00466163822934972,0.4837154704247813,0.480796195551974,-0.007517692730368286,-0.004237839895554263,-0.0012450827853566215,-0.0012450827853566215,-0.004237839895554263,-0.009486291283908266,6
q1,random_forest,rgb,balanced_accuracy,0.00793747017984404,0.4837154704247813,0.480796195551974,0.008767833236842548,0.005487980402028525,0.008767833236842548,0.002706252402082443,0.010947460900634087,0.010947460900634087,6
q2,logistic,nir,balanced_accuracy,-0.0019215141353899716,0.36706784279891824,0.3757625178339314,0.003233755574677699,0.003233755574677699,-0.011507107644114889,-0.004317536308195258,0.002145584298810177,-0.004317536308195258,6
q2,logistic,mmwave,balanced_accuracy,-0.006339618472359097,0.36706784279891824,0.3757625178339314,-0.005096151971808349,-0.019564700654440048,0.009644711246984239,0.009644711246984239,-0.019564700654440048,-0.013101580047434613,6
q2,logistic,rgb,balanced_accuracy,0.01695580764276221,0.36706784279891824,0.3757625178339314,0.010557071432143794,0.025025620114775493,0.010557071432143794,0.003367500096224163,0.026113791390643015,0.026113791390643015,6
q2,random_forest,nir,balanced_accuracy,0.01922551010762094,0.3668167124752897,0.3652859906444511,0.01693253213140039,0.01693253213140039,0.018744456660974407,0.0190935526806586,0.02455643436063326,0.0190935526806586,6
q2,random_forest,mmwave,balanced_accuracy,-0.0043432130892102905,0.3668167124752897,0.3652859906444511,-0.0018463764957590834,-0.0074530605562703744,-0.0036583010253330994,-0.0036583010253330994,-0.0074530605562703744,-0.0019901788762957118,6
q2,random_forest,rgb,balanced_accuracy,-0.016413018849249228,0.3668167124752897,0.3652859906444511,-0.016616877466479885,-0.011010193405968594,-0.016616877466479885,-0.016965973486164077,-0.018634095635201464,-0.018634095635201464,6
q1,logistic,nir,macro_f1,0.00526063152345597,0.38930671317808524,0.39118384029848613,0.007218324871014037,0.007218324871014037,-0.007756969005896397,0.004129910147112337,0.01662428811037947,0.004129910147112337,6
q1,logistic,mmwave,macro_f1,-0.010625870956510483,0.38930671317808524,0.39118384029848613,-0.020783138913159083,-0.014616924905557882,-0.005807845036248649,-0.005807845036248649,-0.014616924905557882,-0.0021225469422907484,6
q1,logistic,rgb,macro_f1,0.007242366553455402,0.38930671317808524,0.39118384029848613,0.015441941162545936,0.009275727154944735,0.015441941162545936,0.003555062009537202,-0.00013023608442069845,-0.00013023608442069845,6
q1,random_forest,nir,macro_f1,0.020100530028640012,0.37328607361518945,0.41312948229257834,0.021125506301178598,0.021125506301178598,0.027385585204828478,0.018405549254329356,0.014155483855995687,0.018405549254329356,6
q1,random_forest,mmwave,macro_f1,-0.0034721300981196968,0.37328607361518945,0.41312948229257834,0.0009197246470735165,-0.002273910441435101,-0.005340354256576363,-0.005340354256576363,-0.002273910441435101,-0.00652397583976877,6
q1,random_forest,rgb,macro_f1,0.023215008746868576,0.37328607361518945,0.41312948229257834,0.017798177729136777,0.020991812817645394,0.017798177729136777,0.0267782136796359,0.027961835262828305,0.027961835262828305,6
q2,logistic,nir,macro_f1,0.0029785695021581904,0.2300604014357364,0.26480450171594583,0.004532528717685502,0.004532528717685502,-0.0035105063321579366,-0.0003802524704075161,0.013077370850551107,-0.0003802524704075161,6
q2,logistic,mmwave,macro_f1,0.019536383915056313,0.2300604014357364,0.26480450171594583,0.029773242688910267,-0.0005483726656794752,0.037816277738753706,0.037816277738753706,-0.0005483726656794752,0.012909250655279148,6
