combination,outcome,model,fold_group,n_train_rows,n_test_rows,test_categories,model_failed,model_reason,roc_auc_ovr_macro,balanced_accuracy,macro_f1,log_loss
M0,q1,logistic,P-001F33A876,2120,60,"1,2,3",False,,0.7650182602370599,0.3333333333333333,0.27831715210355984,0.7261722598463644
M0,q1,logistic,P-07BDD08C0C,2120,60,"1,2,3",False,,0.6709599700710812,0.3333333333333333,0.28205128205128205,0.8342581372420975
M0,q1,logistic,P-100AE58C58,2160,20,"1,2,3",False,,0.6054901960784314,0.3333333333333333,0.25,1.1346101095936594
M0,q1,logistic,P-11AD0DCE87,2140,40,1,False,,,1.0,1.0,0.35265411761617843
M0,q1,logistic,P-12AD0E59EB,2160,20,"1,2",False,,0.5789473684210527,0.5,0.48717948717948717,0.600069181611729
M0,q1,logistic,P-18A2FC7D4E,2120,60,"1,2,3",False,,0.8656719993687624,0.3333333333333333,0.2222222222222222,0.9150051568273283
M0,q1,logistic,P-1A38BC21DA,2120,60,"1,2,3",False,,0.5948293513651891,0.3333333333333333,0.26666666666666666,0.9141566973143577
M0,q1,logistic,P-1A815101A0,2140,40,"1,2,3",False,,0.9297977121817848,0.3333333333333333,0.29107981220657275,0.560901182346637
M0,q1,logistic,P-1CA9C1E745,2140,40,1,False,,,1.0,1.0,0.30011903085860786
M0,q1,logistic,P-244F9886F5,2160,20,"1,2,3",False,,0.5063732563732564,0.3333333333333333,0.15384615384615385,2.1125745574356474
M0,q1,logistic,P-247758AEAC,2140,40,"1,2",False,,0.7115987460815048,0.5,0.42028985507246375,0.6643650754714538
M0,q1,logistic,P-326C04EAEB,2160,20,"1,2",False,,0.7637362637362637,0.5,0.3939393939393939,0.7203431370593131
M0,q1,logistic,P-390B245CCC,2140,40,"1,2",False,,0.5214646464646465,0.5,0.3548387096774194,1.02839032669342
M0,q1,logistic,P-39DC795FB0,2120,60,"1,2,4",False,,0.4771212274993042,0.326241134751773,0.2893081761006289,0.8491035453520719
M0,q1,logistic,P-3D44F7B564,2160,20,1,False,,,0.85,0.4594594594594595,0.5784833833017264
M0,q1,logistic,P-3FD25AB949,2160,20,"1,2,3",False,,0.7942971380471381,0.3333333333333333,0.23655913978494625,0.9213814101103683
M0,q1,logistic,P-42CD4FF02E,2160,20,"1,2,3",False,,0.7111441798941799,0.3333333333333333,0.25,0.9996129316464912
M0,q1,logistic,P-484A6A61BE,2120,60,"1,2,3,4",False,,0.6372938443670151,0.25,0.125,1.6202028246603257
M0,q1,logistic,P-48B7FC4062,2160,20,"1,2,3",False,,0.6130283224400871,0.3333333333333333,0.2857142857142857,0.8795109351263092
M0,q1,logistic,P-4CEF5A2144,2140,40,"1,2",False,,0.8738738738738739,0.5,0.4805194805194805,0.4529507387508206
M0,q1,logistic,P-4D14B12359,2120,60,1,False,,,1.0,1.0,0.40924543355382537
M0,q1,logistic,P-4D43A127BA,2160,20,"1,2",False,,0.5,0.5,0.4444444444444444,0.625008363735874
M0,q1,logistic,P-541A203CCD,2100,80,"1,4",False,,0.4970833333333334,0.5,0.2,2.520207574512571
M0,q1,logistic,P-547A3B4455,2160,20,"2,3",False,,0.46875,0.0,0.0,1.6662924073411827
M0,q1,logistic,P-54C61641A8,2140,40,"1,2",False,,0.9656593406593406,0.5,0.3939393939393939,0.615280470389034
M0,q1,logistic,P-54FD02BC9C,2140,40,"1,2",False,,0.8160173160173161,0.5,0.4520547945205479,0.551851547787509
M0,q1,logistic,P-5E54A83C78,2140,40,"1,2,3,4",False,,0.4611502569504993,0.23529411764705882,0.14285714285714285,2.1280284481429685
M0,q1,logistic,P-67DCF8869F,2160,20,"1,2,4",False,,0.5834858387799564,0.3333333333333333,0.29411764705882354,0.8170284485220405
M0,q1,logistic,P-77327DFF2A,2160,20,"1,2,4",False,,0.7124112271171095,0.3333333333333333,0.15384615384615385,1.291988010672393
M0,q1,logistic,P-7A6E877C97,2140,40,1,False,,,1.0,1.0,0.3462896512743051
M0,q1,logistic,P-7BC40AF359,2160,20,"1,2,4",False,,0.6369395711500975,0.2962962962962963,0.2962962962962963,0.6846341168166796
M0,q1,logistic,P-7E974EA92D,2160,20,"1,2,3",False,,0.5389918926103138,0.3333333333333333,0.23655913978494625,1.0432812849760367
M0,q1,logistic,P-8016036889,2120,60,"1,2,3,4",False,,0.6205711902985674,0.25,0.11038961038961038,1.3866785992452173
M0,q1,logistic,P-80904DAF11,2160,20,"1,2,3",False,,0.7059358465608465,0.3333333333333333,0.2745098039215686,0.8346151609295884
M0,q1,logistic,P-826248DDD8,2140,40,"1,4",False,,0.858974358974359,0.5,0.4936708860759494,0.4033103816648044
M0,q1,logistic,P-8405CEC183,2160,20,"1,2,3,4",False,,0.40119356155540364,0.2222222222222222,0.14285714285714285,1.5330056557656817
M0,q1,logistic,P-8EB079D859,2160,20,1,False,,,1.0,1.0,0.360994153171224
M0,q1,logistic,P-8EB2F3E5EB,2140,40,1,False,,,1.0,1.0,0.3752051638061586
M0,q1,logistic,P-90ADD44D40,2160,20,"1,2,3,4",False,,0.5636640473497091,0.20833333333333334,0.10416666666666667,2.3367846405229526
M0,q1,logistic,P-942BF8DF1B,2120,60,"1,2,3,4",False,,0.5179678552604986,0.2386968085106383,0.23026315789473684,0.8389353973081263
M0,q1,logistic,P-95F33174C1,2120,60,1,False,,,1.0,1.0,0.32021319371864815
M0,q1,logistic,P-9EF7F8A151,2160,20,"1,2,3,4",False,,0.5868619684409158,0.25,0.12962962962962962,1.0719209804514571
M0,q1,logistic,P-AE146C9DF8,2140,40,"1,2,3",False,,0.5805505258630258,0.3333333333333333,0.2962962962962963,0.6072726658355518
M0,q1,logistic,P-AE42FA6330,2160,20,"1,2,3,4",False,,0.6829885800474036,0.25,0.1346153846153846,1.6591364216380307
M0,q1,logistic,P-AF79D1DE3B,2160,20,"1,2,3,4",False,,0.7087616099071207,0.25,0.1,1.8791659201042772
M0,q1,logistic,P-B561FC8AA0,2160,20,"1,2",False,,0.8823529411764706,0.5,0.4594594594594595,0.4614071318570495
M0,q1,logistic,P-B687D84AC3,2160,20,1,False,,,1.0,1.0,0.26627271411898407
M0,q1,logistic,P-BAAF612E97,2160,20,"1,2,3",False,,0.8079975579975581,0.3333333333333333,0.2626262626262626,0.8105295899765987
