combination,outcome,model,n_folds_total,n_folds_model_failed,mean_n_test_rows,roc_auc_ovr_macro_mean,roc_auc_ovr_macro_sd,roc_auc_ovr_macro_n_folds_defined,balanced_accuracy_mean,balanced_accuracy_sd,balanced_accuracy_n_folds_defined,macro_f1_mean,macro_f1_sd,macro_f1_n_folds_defined,log_loss_mean,log_loss_sd,log_loss_n_folds_defined
M0,q1,logistic,61,0,35.73770491803279,0.6679051024524582,0.15308166169621085,50,0.47460275611946945,0.27151211413416576,61,0.38930671317808524,0.2915171280062726,61,0.9431593081968587,0.5654739365623723,61
M0,q1,random_forest,61,0,35.73770491803279,0.6203301517930299,0.14078510643081227,50,0.4837154704247813,0.2544217891622503,61,0.37328607361518945,0.21953420856725592,61,1.006534611845604,0.6190260282676621,61
M0,q2,logistic,61,0,35.73770491803279,0.5931110204208406,0.13772335915378595,54,0.36706784279891824,0.16977119629267634,61,0.2300604014357364,0.15093089286486924,61,1.0996790454443761,0.3265513399482946,61
M0,q2,random_forest,61,0,35.73770491803279,0.5655942457224524,0.13215385928673182,54,0.3668167124752897,0.1494409226063807,61,0.2687145661287813,0.11532881616707501,61,1.1564508651520082,0.36142726580332374,61
M1,q1,logistic,61,0,35.73770491803279,0.6767253030392427,0.1486013147533583,50,0.47466803734902724,0.26363564411443335,61,0.3965250380490993,0.2796051518530392,61,0.9450994154291094,0.5809326784296222,61
M1,q1,random_forest,61,0,35.73770491803279,0.6241085772785139,0.12434537023590106,50,0.47954605504549974,0.2688920772920692,61,0.39441157991636805,0.2889522131291611,61,0.9642922477439118,0.5680893289853857,61
M1,q2,logistic,61,0,35.73770491803279,0.5915313423433527,0.14080356690111503,54,0.37030159837359594,0.1719740456961936,61,0.2345929301534219,0.1568142698062743,61,1.1059044127574178,0.33884755473126554,61
M1,q2,random_forest,61,0,35.73770491803279,0.5616708395236408,0.15229645721631224,54,0.3837492446066901,0.14572565133514104,61,0.2701847975518311,0.1513509704915033,61,1.130210891536365,0.33357537154005473,61
M2,q1,logistic,61,0,35.73770491803279,0.6569244804101388,0.16547817789191197,50,0.47230371828891227,0.2687004951358042,61,0.3834988681418366,0.28224429461953254,61,0.9583576352242291,0.5904977430765351,61
M2,q1,random_forest,61,0,35.73770491803279,0.6445537006462082,0.16678521763321855,50,0.4824703876394247,0.2647918430442153,61,0.3679457193586131,0.24171135025207477,61,0.9639746235022794,0.5847568896730454,61
M2,q2,logistic,61,0,35.73770491803279,0.5755826612453285,0.14312192827428072,54,0.3767125540459025,0.17277910764173887,61,0.2678766791744901,0.1415232166414804,61,1.0977294288453385,0.3148647194690175,61
M2,q2,random_forest,61,0,35.73770491803279,0.5480813785891369,0.15326841858930212,54,0.3631584114499566,0.180015544412683,61,0.26749298333832905,0.12878466178544232,61,1.15526822355101,0.4585144618715073,61
M3,q1,logistic,61,0,35.73770491803279,0.6763891615673044,0.1564625340552217,50,0.4878245900082606,0.2704185129605994,61,0.38917647709366454,0.2616403126222374,61,0.9533426670815413,0.5863784209998624,61
M3,q1,random_forest,61,0,35.73770491803279,0.6517539181564415,0.1381846110358414,50,0.4946629313254154,0.2672297259621769,61,0.40124790887801776,0.2641561131877769,61,0.9366736376821119,0.5635714852746425,61
M3,q2,logistic,61,0,35.73770491803279,0.5905951266765814,0.1558395256765897,54,0.39318163418956126,0.16087450459933528,61,0.2522755035310742,0.12939960172285253,61,1.090862393700108,0.3125314481435772,61
M3,q2,random_forest,61,0,35.73770491803279,0.5463863706251381,0.14467602169950797,54,0.3481826168400882,0.13523509970682598,61,0.24466761149359326,0.10186243514604813,61,1.1301798841835349,0.3250770304727479,61
M4,q1,logistic,61,0,35.73770491803279,0.6597925270187405,0.1637917616609473,50,0.47553246343046124,0.26649177471204755,61,0.3757418991359402,0.257646356477004,61,0.9588815724620741,0.6045473795465992,61
M4,q1,random_forest,61,0,35.73770491803279,0.6592094782591404,0.15091181236879833,50,0.47202836231513146,0.26642578918197446,61,0.39533130456344157,0.2956356385346253,61,0.9473759596255515,0.5815354224011756,61
M4,q2,logistic,61,0,35.73770491803279,0.571640332029963,0.14429413560416945,54,0.3652054464017876,0.1661334453198634,61,0.26436617284233216,0.1350956719501996,61,1.103891309082239,0.3245414861437544,61
M4,q2,random_forest,61,0,35.73770491803279,0.5634126490716737,0.142615765523971,54,0.381902868110931,0.17894770532718265,61,0.24908402414175426,0.16600243890046126,61,1.1238224257197,0.338847165177782,61
M5,q1,logistic,61,0,35.73770491803279,0.6798777824974879,0.15499689764926503,50,0.4913886295168029,0.27026619082827036,61,0.405800765204044,0.27601617015004776,61,0.9768092142360857,0.6285065790424917,61
M5,q1,random_forest,61,0,35.73770491803279,0.6474514851637625,0.1442029002247951,50,0.48503403544752827,0.27403435157074446,61,0.41540339273401344,0.3008367305534293,61,0.9349235749266656,0.544525769406783,61
M5,q2,logistic,61,0,35.73770491803279,0.5875545373509822,0.15775050749210667,54,0.39532721848837143,0.16259862180996645,61,0.2653528743816253,0.1575163150097497,61,1.102122265737824,0.3280597574087612,61
M5,q2,random_forest,61,0,35.73770491803279,0.5471848570612036,0.14293602183565965,54,0.3727390512007215,0.1487979231436159,61,0.2567162512681595,0.12497502381726561,61,1.1280938614973517,0.3411245420850362,61
M6,q1,logistic,61,0,35.73770491803279,0.6704452166477293,0.16252329307873434,50,0.48271280763260854,0.26299302061667496,61,0.3870539301513738,0.25861711905777607,61,0.962706246514575,0.6063461966652072,61
M6,q1,random_forest,61,0,35.73770491803279,0.6626543090538783,0.14038634064890915,50,0.4851766400415071,0.275856455658179,61,0.394723933038249,0.27538498359739383,61,0.9325955677105177,0.5585084344139186,61
M6,q2,logistic,61,0,35.73770491803279,0.5836573727600279,0.15761393843238633,54,0.38008005414212664,0.15223076513560388,61,0.26518475418635334,0.12329574222201273,61,1.119961758644912,0.398043372698153,61
M6,q2,random_forest,61,0,35.73770491803279,0.5451533953045404,0.16303675940433537,54,0.3461924379637925,0.14447046018315057,61,0.24937683007865494,0.10843665963905261,61,1.1237679570731234,0.30123222183399756,61
M7,q1,logistic,61,0,35.73770491803279,0.6736876359104486,0.1606184118098541,50,0.4851748164203901,0.2643209646151769,61,0.39118384029848613,0.2553222998781513,61,0.981374984878352,0.6317416940505796,61
M7,q1,random_forest,61,0,35.73770491803279,0.6633890885739012,0.15060136246393216,50,0.480796195551974,0.2660084805458034,61,0.41312948229257834,0.30361970015778433,61,0.9302306858103409,0.562684106424001,61
M7,q2,logistic,61,0,35.73770491803279,0.5800753374788692,0.16008151629402484,54,0.3757625178339314,0.1587393325974952,61,0.26480450171594583,0.12582982881650703,61,1.1277274606759244,0.408469242513025,61
M7,q2,random_forest,61,0,35.73770491803279,0.5602534032387787,0.15647555510809769,54,0.3652859906444511,0.16102593019848868,61,0.23368284249568572,0.12216525193519066,61,1.1154775645726782,0.30653204208753854,61
