model_name,model_family,outcome,metric,pupil_term,estimate,se,ci_low,ci_high,p_value_not_for_endpoint_selection,n_rows,participant_group_n,session_n,block_n,predictor_standardization,status
block_dprime_loglinear__pupil_geom_mean_diameter,LMM,dprime_loglinear,pupil_geom_mean_diameter,pupil_within,-0.07212141750516607,0.04361953171308361,-0.15761569966280994,0.013372864652477806,0.09824536219064715,214,60,108,2,z_score_within_fitted_sample_per_term,estimable
block_dprime_loglinear__pupil_geom_mean_diameter,LMM,dprime_loglinear,pupil_geom_mean_diameter,pupil_between,-0.047841587734935624,0.10467904580030914,-0.25301251750354153,0.15732934203367027,0.6476486350661108,214,60,108,2,z_score_within_fitted_sample_per_term,estimable
block_criterion_c__pupil_geom_mean_diameter,LMM,criterion_c,pupil_geom_mean_diameter,pupil_within,-0.025681675853437266,0.01359009547767531,-0.052318262989680876,0.0009549112828063436,0.05879344237984294,214,60,108,2,z_score_within_fitted_sample_per_term,estimable
block_criterion_c__pupil_geom_mean_diameter,LMM,criterion_c,pupil_geom_mean_diameter,pupil_between,-0.010744744454444035,0.03569438449316215,-0.08070573806104185,0.059216249152153774,0.7633987985550925,214,60,108,2,z_score_within_fitted_sample_per_term,estimable
block_beta__pupil_geom_mean_diameter,LMM,beta,pupil_geom_mean_diameter,pupil_within,0.057093050208072205,0.06195833053441564,-0.06434527763938246,0.17853137805552688,0.3568025080596223,214,60,108,2,z_score_within_fitted_sample_per_term,estimable
block_beta__pupil_geom_mean_diameter,LMM,beta,pupil_geom_mean_diameter,pupil_between,0.0922967404496718,0.07002798139625158,-0.044958103086981296,0.22955158398632491,0.18750431252287503,214,60,108,2,z_score_within_fitted_sample_per_term,estimable
block_go_correct_rt_mean_ms__pupil_geom_mean_diameter,LMM,go_correct_rt_mean_ms,pupil_geom_mean_diameter,pupil_within,-3.9004416595769866,3.8096111986845616,-11.367279608998727,3.5663962898447537,0.3059096968064996,214,60,108,2,z_score_within_fitted_sample_per_term,estimable
block_go_correct_rt_mean_ms__pupil_geom_mean_diameter,LMM,go_correct_rt_mean_ms,pupil_geom_mean_diameter,pupil_between,-6.878101300365292,9.810766077913456,-26.107202813075666,12.351000212345085,0.48325503617472165,214,60,108,2,z_score_within_fitted_sample_per_term,estimable
block_go_correct_rt_median_ms__pupil_geom_mean_diameter,LMM,go_correct_rt_median_ms,pupil_geom_mean_diameter,pupil_within,-5.2972117764844775,5.463557395230537,-16.005784271136328,5.411360718167375,0.33226904754257536,214,60,108,2,z_score_within_fitted_sample_per_term,estimable
block_go_correct_rt_median_ms__pupil_geom_mean_diameter,LMM,go_correct_rt_median_ms,pupil_geom_mean_diameter,pupil_between,-15.575495097047149,11.477334911968079,-38.07107152450458,6.920081330410284,0.1747604033305461,214,60,108,2,z_score_within_fitted_sample_per_term,estimable
block_go_correct_rt_sd_ms__pupil_geom_mean_diameter,LMM,go_correct_rt_sd_ms,pupil_geom_mean_diameter,pupil_within,-2.088282613183583,2.5216336276949542,-7.030684523465693,2.8541192970985274,0.4075874144621673,214,60,108,2,z_score_within_fitted_sample_per_term,estimable
block_go_correct_rt_sd_ms__pupil_geom_mean_diameter,LMM,go_correct_rt_sd_ms,pupil_geom_mean_diameter,pupil_between,-5.90548751086671,6.793190357210866,-19.220140611000005,7.409165589266587,0.3846696095394335,214,60,108,2,z_score_within_fitted_sample_per_term,estimable
block_go_correct_rt_cv__pupil_geom_mean_diameter,LMM,go_correct_rt_cv,pupil_geom_mean_diameter,pupil_within,0.002040580637888225,0.005751701822611933,-0.009232754934431164,0.013313916210207614,0.7227554723101235,214,60,108,2,z_score_within_fitted_sample_per_term,estimable
block_go_correct_rt_cv__pupil_geom_mean_diameter,LMM,go_correct_rt_cv,pupil_geom_mean_diameter,pupil_between,-0.004693875869902865,0.01504814568177438,-0.03418824140618065,0.02480048966637492,0.7550983796447114,214,60,108,2,z_score_within_fitted_sample_per_term,estimable
block_go_correct_rt_theilsen_slope_ms_per_s__pupil_geom_mean_diameter,LMM,go_correct_rt_theilsen_slope_ms_per_s,pupil_geom_mean_diameter,pupil_within,0.0020493013356215656,0.007114815823381086,-0.011895737678205363,0.015994340349448494,0.7733215223866549,214,60,108,2,z_score_within_fitted_sample_per_term,estimable
block_go_correct_rt_theilsen_slope_ms_per_s__pupil_geom_mean_diameter,LMM,go_correct_rt_theilsen_slope_ms_per_s,pupil_geom_mean_diameter,pupil_between,0.01187981201912633,0.008991969984828091,-0.0057444491511367286,0.029504073189389392,0.18644872660012057,214,60,108,2,z_score_within_fitted_sample_per_term,estimable
block_omission_rate__pupil_geom_mean_diameter,GEE_binomial_exchangeable,omission_rate,pupil_geom_mean_diameter,pupil_within,-0.0017465248202584757,0.01711676233317323,-0.035295378993278004,0.03180232935276105,0.9187281532451141,214,60,108,2,z_score_within_fitted_sample_per_term,estimable
block_omission_rate__pupil_geom_mean_diameter,GEE_binomial_exchangeable,omission_rate,pupil_geom_mean_diameter,pupil_between,0.041775192715875285,0.2404472829735004,-0.4295014819121855,0.513051867343936,0.8620701865514742,214,60,108,2,z_score_within_fitted_sample_per_term,estimable
block_commission_rate__pupil_geom_mean_diameter,GEE_binomial_exchangeable,commission_rate,pupil_geom_mean_diameter,pupil_within,0.08873610724791345,0.038469469214061164,0.013335947588353575,0.16413626690747332,0.02107360577302221,214,60,108,2,z_score_within_fitted_sample_per_term,estimable
block_commission_rate__pupil_geom_mean_diameter,GEE_binomial_exchangeable,commission_rate,pupil_geom_mean_diameter,pupil_between,0.05625178768589554,0.09775896041728632,-0.13535577473198565,0.24785935010377672,0.5650119381208156,214,60,108,2,z_score_within_fitted_sample_per_term,estimable
block_dprime_loglinear__hard_pupil_fraction,LMM,dprime_loglinear,hard_pupil_fraction,pupil_within,-0.07841004908927367,0.043549360375262476,-0.16376679542478811,0.0069466972462407794,0.07178380390156651,214,60,108,2,z_score_within_fitted_sample_per_term,estimable
block_dprime_loglinear__hard_pupil_fraction,LMM,dprime_loglinear,hard_pupil_fraction,pupil_between,-0.014391160587789298,0.10548078396890456,-0.22113349716684225,0.19235117599126364,0.8914782320182599,214,60,108,2,z_score_within_fitted_sample_per_term,estimable
block_criterion_c__hard_pupil_fraction,LMM,criterion_c,hard_pupil_fraction,pupil_within,-0.02585580863461176,0.013594720548319743,-0.052501460909318454,0.0007898436400949373,0.057184136638809197,214,60,108,2,z_score_within_fitted_sample_per_term,estimable
block_criterion_c__hard_pupil_fraction,LMM,criterion_c,hard_pupil_fraction,pupil_between,0.03294194066188254,0.03566869551841911,-0.03696870255421893,0.102852583877984,0.35571894920878,214,60,108,2,z_score_within_fitted_sample_per_term,estimable
block_beta__hard_pupil_fraction,LMM,beta,hard_pupil_fraction,pupil_within,0.05487634498107056,0.061931847324070616,-0.06651007577410784,0.17626276573624897,0.37557638834683427,214,60,108,2,z_score_within_fitted_sample_per_term,estimable
block_beta__hard_pupil_fraction,LMM,beta,hard_pupil_fraction,pupil_between,0.08632205351916815,0.0700751783046495,-0.051025295957944874,0.22366940299628119,0.21800541438017962,214,60,108,2,z_score_within_fitted_sample_per_term,estimable
block_go_correct_rt_mean_ms__hard_pupil_fraction,LMM,go_correct_rt_mean_ms,hard_pupil_fraction,pupil_within,-4.453690971404831,3.803387696613555,-11.9083308567674,3.0009489139577363,0.241606811465769,214,60,108,2,z_score_within_fitted_sample_per_term,estimable
block_go_correct_rt_mean_ms__hard_pupil_fraction,LMM,go_correct_rt_mean_ms,hard_pupil_fraction,pupil_between,11.538034002644782,9.818725687340958,-7.706668344543495,30.78273634983306,0.23995269612460757,214,60,108,2,z_score_within_fitted_sample_per_term,estimable
block_go_correct_rt_median_ms__hard_pupil_fraction,LMM,go_correct_rt_median_ms,hard_pupil_fraction,pupil_within,-7.0107670121302155,5.446398959457997,-17.68570897266789,3.6641749484074575,0.19801420536902148,214,60,108,2,z_score_within_fitted_sample_per_term,estimable
block_go_correct_rt_median_ms__hard_pupil_fraction,LMM,go_correct_rt_median_ms,hard_pupil_fraction,pupil_between,5.707228236165161,11.700588623407246,-17.22592546571304,28.64038193804336,0.6257108182915296,214,60,108,2,z_score_within_fitted_sample_per_term,estimable
block_go_correct_rt_sd_ms__hard_pupil_fraction,LMM,go_correct_rt_sd_ms,hard_pupil_fraction,pupil_within,-0.5461957150527116,2.526514204416322,-5.498163555708702,4.40577212560328,0.828843162264927,214,60,108,2,z_score_within_fitted_sample_per_term,estimable
block_go_correct_rt_sd_ms__hard_pupil_fraction,LMM,go_correct_rt_sd_ms,hard_pupil_fraction,pupil_between,-0.9500350326209326,6.886401959179646,-14.447382872613039,12.547312807371172,0.8902735204205047,214,60,108,2,z_score_within_fitted_sample_per_term,estimable
block_go_correct_rt_cv__hard_pupil_fraction,LMM,go_correct_rt_cv,hard_pupil_fraction,pupil_within,0.005412442387175677,0.00573823467923255,-0.00583449758412012,0.016659382358471475,0.34556618666557526,214,60,108,2,z_score_within_fitted_sample_per_term,estimable
