model_name,model_family,outcome,metric,pupil_term,contrast_category,reference_category,estimate,se,ci_low,ci_high,p_value_not_for_endpoint_selection,n_rows,participant_group_n,session_n,predictor_standardization,family_note,status
Q1_pupil_geom_mean_diameter,MNLogit_cluster_robust,probe_response,pupil_geom_mean_diameter,pupil_within,2.0,1.0,-0.06719629489814094,0.057766228962163116,-0.18041810366398064,0.046025513867698764,0.2447299879678334,1968,61,109,z_score_within_fitted_sample_per_term,,estimable
Q1_pupil_geom_mean_diameter,MNLogit_cluster_robust,probe_response,pupil_geom_mean_diameter,pupil_between,2.0,1.0,-0.04680490227448703,0.20223192856393274,-0.4431794822597952,0.34956967771082115,0.8169716689132813,1968,61,109,z_score_within_fitted_sample_per_term,,estimable
Q1_pupil_geom_mean_diameter,MNLogit_cluster_robust,probe_response,pupil_geom_mean_diameter,pupil_within,3.0,1.0,0.05265090610788508,0.13963837839870488,-0.22104031555357645,0.3263421277693466,0.7061350877964107,1968,61,109,z_score_within_fitted_sample_per_term,,estimable
Q1_pupil_geom_mean_diameter,MNLogit_cluster_robust,probe_response,pupil_geom_mean_diameter,pupil_between,3.0,1.0,-0.15260487130688546,0.27494167006069414,-0.691490544625846,0.38628080201207504,0.5788641993379042,1968,61,109,z_score_within_fitted_sample_per_term,,estimable
Q1_pupil_geom_mean_diameter,MNLogit_cluster_robust,probe_response,pupil_geom_mean_diameter,pupil_within,4.0,1.0,-0.22044990231373604,0.12353160592675279,-0.46257184993017153,0.021672045302699422,0.07433226811645428,1968,61,109,z_score_within_fitted_sample_per_term,,estimable
Q1_pupil_geom_mean_diameter,MNLogit_cluster_robust,probe_response,pupil_geom_mean_diameter,pupil_between,4.0,1.0,0.45018214962495384,0.18014826276004028,0.09709155461527491,0.8032727446346328,0.012456061921594678,1968,61,109,z_score_within_fitted_sample_per_term,,estimable
Q2_pupil_geom_mean_diameter,OrderedModel_cumulative_logit_cluster_robust,probe_vigilance,pupil_geom_mean_diameter,pupil_within,,,0.03912400570566776,0.07152720834763508,-0.10106932265569699,0.1793173340670325,0.5843919607490786,1968,61,109,z_score_within_fitted_sample_per_term,OrdinalGEE (behavior-side reference) unavailable in this runtime: native scipy cholesky crash 0xc06d007f kills the process and cannot be caught; cumulative-logit OrderedModel with participant-cluster robust covariance used instead,estimable
Q2_pupil_geom_mean_diameter,OrderedModel_cumulative_logit_cluster_robust,probe_vigilance,pupil_geom_mean_diameter,pupil_between,,,0.014437437138669627,0.21439432295673252,-0.4057754358565261,0.43465031013386535,0.9463105754296613,1968,61,109,z_score_within_fitted_sample_per_term,OrdinalGEE (behavior-side reference) unavailable in this runtime: native scipy cholesky crash 0xc06d007f kills the process and cannot be caught; cumulative-logit OrderedModel with participant-cluster robust covariance used instead,estimable
Q1_hard_pupil_fraction,MNLogit_cluster_robust,probe_response,hard_pupil_fraction,pupil_within,2.0,1.0,-0.09273193594986423,0.06647285005746592,-0.22301872206249743,0.037554850162768966,0.16300535993751608,1968,61,109,z_score_within_fitted_sample_per_term,,estimable
Q1_hard_pupil_fraction,MNLogit_cluster_robust,probe_response,hard_pupil_fraction,pupil_between,2.0,1.0,0.15410371447354856,0.2218951800813712,-0.280810838485939,0.5890182674330361,0.487375730306458,1968,61,109,z_score_within_fitted_sample_per_term,,estimable
Q1_hard_pupil_fraction,MNLogit_cluster_robust,probe_response,hard_pupil_fraction,pupil_within,3.0,1.0,0.017472892228407276,0.12388165786011822,-0.22533515717742442,0.260280941634239,0.8878343685901517,1968,61,109,z_score_within_fitted_sample_per_term,,estimable
Q1_hard_pupil_fraction,MNLogit_cluster_robust,probe_response,hard_pupil_fraction,pupil_between,3.0,1.0,-0.13291518165829017,0.2804714967306401,-0.6826393152503447,0.4168089519337643,0.63557188193785,1968,61,109,z_score_within_fitted_sample_per_term,,estimable
Q1_hard_pupil_fraction,MNLogit_cluster_robust,probe_response,hard_pupil_fraction,pupil_within,4.0,1.0,-0.12529594522196216,0.11658180782909174,-0.353796288566982,0.10320439812305762,0.2824880265247268,1968,61,109,z_score_within_fitted_sample_per_term,,estimable
Q1_hard_pupil_fraction,MNLogit_cluster_robust,probe_response,hard_pupil_fraction,pupil_between,4.0,1.0,0.55190148048504,0.18795113207244202,0.1835172616230536,0.9202856993470263,0.003320357407081674,1968,61,109,z_score_within_fitted_sample_per_term,,estimable
Q2_hard_pupil_fraction,OrderedModel_cumulative_logit_cluster_robust,probe_vigilance,hard_pupil_fraction,pupil_within,,,0.0997176499313099,0.07947899795319721,-0.05606118605695663,0.2554964859195764,0.20960892777392326,1968,61,109,z_score_within_fitted_sample_per_term,OrdinalGEE (behavior-side reference) unavailable in this runtime: native scipy cholesky crash 0xc06d007f kills the process and cannot be caught; cumulative-logit OrderedModel with participant-cluster robust covariance used instead,estimable
Q2_hard_pupil_fraction,OrderedModel_cumulative_logit_cluster_robust,probe_vigilance,hard_pupil_fraction,pupil_between,,,-0.173336466618226,0.2254799079182056,-0.615277086137909,0.268604152901457,0.44204492948637264,1968,61,109,z_score_within_fitted_sample_per_term,OrdinalGEE (behavior-side reference) unavailable in this runtime: native scipy cholesky crash 0xc06d007f kills the process and cannot be caught; cumulative-logit OrderedModel with participant-cluster robust covariance used instead,estimable
