model_name,model_family,outcome,adjusted,pupil_term,estimate,se,ci_low,ci_high,p_value_not_for_endpoint_selection,n_rows,participant_group_n,session_n,visual_support_fraction,covariates,status,reference_signal_only
go_correct_rt__unadjusted,LMM,rt,False,pupil_within,-0.15970731838093055,0.13901488687296842,-0.4321764966519487,0.11276185989008758,0.25061764332208003,69124,61,109,1.0,,estimable,True
go_correct_rt__unadjusted,LMM,rt,False,pupil_between,-30.627147632607592,10.8133274399538,-51.82126941491704,-9.433025850298144,0.0046206977444006,69124,61,109,1.0,,estimable,True
go_correct_rt__adjusted,LMM,rt,True,pupil_within,-0.08828342641120648,0.14174901826920977,-0.3661115022188576,0.18954464939644464,0.5334060462566871,68927,61,109,1.0,time_in_block_z;pupil_valid_fraction;internal_coverage_fraction;source_mode_binocular_fraction;stimulus_size;prev_stimulus_size;current_central_rel_lum_mean;current_central_rms_contrast;current_fruit_visible_area_fraction_central_roi;previous_central_rel_lum_mean;previous_central_rms_contrast;previous_fruit_visible_area_fraction_central_roi,estimable,True
go_correct_rt__adjusted,LMM,rt,True,pupil_between,-29.89511340483541,10.908102154847763,-51.27499362833703,-8.515233181333794,0.006132081014254935,68927,61,109,1.0,time_in_block_z;pupil_valid_fraction;internal_coverage_fraction;source_mode_binocular_fraction;stimulus_size;prev_stimulus_size;current_central_rel_lum_mean;current_central_rms_contrast;current_fruit_visible_area_fraction_central_roi;previous_central_rel_lum_mean;previous_central_rms_contrast;previous_fruit_visible_area_fraction_central_roi,estimable,True
go_omission__unadjusted,GEE_binomial,omission,False,pupil_within,-0.05293824651021226,0.01960430426586642,-0.09136268287131044,-0.014513810149114084,0.006926907608673096,70649,61,109,1.0,,estimable,True
go_omission__unadjusted,GEE_binomial,omission,False,pupil_between,-0.6277296340690507,0.12893848875610878,-0.8804490720310238,-0.3750101961070775,1.1248117188869932e-06,70649,61,109,1.0,,estimable,True
go_omission__adjusted,GEE_binomial,omission,True,pupil_within,-0.05017570526343223,0.02034782392703357,-0.09005744016041803,-0.010293970366446435,0.013666936656904643,70450,61,109,1.0,time_in_block_z;pupil_valid_fraction;internal_coverage_fraction;source_mode_binocular_fraction;stimulus_size;prev_stimulus_size;current_central_rel_lum_mean;current_central_rms_contrast;current_fruit_visible_area_fraction_central_roi;previous_central_rel_lum_mean;previous_central_rms_contrast;previous_fruit_visible_area_fraction_central_roi,estimable,True
go_omission__adjusted,GEE_binomial,omission,True,pupil_between,-0.6508363923750718,0.1341529883212575,-0.9137762494847366,-0.3878965352654072,1.2256267573882902e-06,70450,61,109,1.0,time_in_block_z;pupil_valid_fraction;internal_coverage_fraction;source_mode_binocular_fraction;stimulus_size;prev_stimulus_size;current_central_rel_lum_mean;current_central_rms_contrast;current_fruit_visible_area_fraction_central_roi;previous_central_rel_lum_mean;previous_central_rms_contrast;previous_fruit_visible_area_fraction_central_roi,estimable,True
nogo_commission__unadjusted,GEE_binomial,commission,False,pupil_within,-0.013033017859253265,0.00825573785679886,-0.029214264058579027,0.003148228340072499,0.11441365474826203,8802,61,109,1.0,,estimable,True
nogo_commission__unadjusted,GEE_binomial,commission,False,pupil_between,-0.12226874242653524,0.15484224045321968,-0.4257595337148458,0.18122204886177534,0.42974137724539063,8802,61,109,1.0,,estimable,True
nogo_commission__adjusted,GEE_binomial,commission,True,pupil_within,-0.014000295106908837,0.008932349379090215,-0.03150769988992566,0.003507109676107985,0.1170282670441306,8802,61,109,1.0,time_in_block_z;pupil_valid_fraction;internal_coverage_fraction;source_mode_binocular_fraction;stimulus_size;prev_stimulus_size;previous_central_rel_lum_mean;previous_central_rms_contrast;previous_fruit_visible_area_fraction_central_roi,estimable,True
nogo_commission__adjusted,GEE_binomial,commission,True,pupil_between,-0.12230909574451236,0.15119918656069203,-0.41865950140346875,0.174041309914444,0.4185571702291401,8802,61,109,1.0,time_in_block_z;pupil_valid_fraction;internal_coverage_fraction;source_mode_binocular_fraction;stimulus_size;prev_stimulus_size;previous_central_rel_lum_mean;previous_central_rms_contrast;previous_fruit_visible_area_fraction_central_roi,estimable,True
