model_name,model_family,analysis,outcome,predictor,estimate_per_predictor_sd,se,ci_low,ci_high,status,observation_unit,correlation_structure,participant_group_n,session_n,n_rows
rgb_behavior_window_gee_body_motion_energy_median__go_correct_rt_median_ms,GaussianGEE_cluster,rgb_behavior_window_gee,body_motion_energy_median,go_correct_rt_median_ms,0.0023610225812565775,0.0024849475675033225,-0.0025094746510499347,0.00723151981356309,estimable,probe,Exchangeable within participant_group_id,61,115,2298
rgb_behavior_window_gee_body_motion_energy_median__go_correct_rt_cv,GaussianGEE_cluster,rgb_behavior_window_gee,body_motion_energy_median,go_correct_rt_cv,0.0001382933296091276,0.0014368697780556003,-0.002677971435379849,0.002954558094598104,estimable,probe,Exchangeable within participant_group_id,61,111,1794
rgb_behavior_window_gee_body_motion_energy_median__omission_rate,GaussianGEE_cluster,rgb_behavior_window_gee,body_motion_energy_median,omission_rate,-0.0020585434385368352,0.002440707879658221,-0.006842330882666949,0.002725244005593278,estimable,probe,Exchangeable within participant_group_id,61,115,2300
rgb_behavior_window_gee_body_motion_energy_median__commission_rate,GaussianGEE_cluster,rgb_behavior_window_gee,body_motion_energy_median,commission_rate,0.0005502485021840611,0.0020923899593301085,-0.0035508358181029517,0.004651332822471074,estimable,probe,Exchangeable within participant_group_id,61,115,2300
rgb_behavior_window_gee_body_motion_energy_median__dprime_loglinear,GaussianGEE_cluster,rgb_behavior_window_gee,body_motion_energy_median,dprime_loglinear,0.0004837917260412347,0.0023954690830275934,-0.004211327676692848,0.005178911128775318,estimable,probe,Exchangeable within participant_group_id,61,115,2300
rgb_behavior_window_gee_exposure_change_abs_median__go_correct_rt_median_ms,GaussianGEE_cluster,rgb_behavior_window_gee,exposure_change_abs_median,go_correct_rt_median_ms,6.041884033441699e-05,0.00010216761419060097,-0.00013982968347916091,0.00026066736414799487,estimable,probe,Exchangeable within participant_group_id,61,115,2298
rgb_behavior_window_gee_exposure_change_abs_median__go_correct_rt_cv,GaussianGEE_cluster,rgb_behavior_window_gee,exposure_change_abs_median,go_correct_rt_cv,3.602923753095714e-05,5.7408287189255216e-05,-7.649100535998308e-05,0.00014854948042189735,estimable,probe,Exchangeable within participant_group_id,61,111,1794
rgb_behavior_window_gee_exposure_change_abs_median__omission_rate,GaussianGEE_cluster,rgb_behavior_window_gee,exposure_change_abs_median,omission_rate,-8.358319187353811e-05,0.00010269049179731971,-0.00028485655579628475,0.00011769017204920853,estimable,probe,Exchangeable within participant_group_id,61,115,2300
rgb_behavior_window_gee_exposure_change_abs_median__commission_rate,GaussianGEE_cluster,rgb_behavior_window_gee,exposure_change_abs_median,commission_rate,-6.521852332036668e-05,0.00010136338603501943,-0.0002638907599490048,0.0001334537133082714,estimable,probe,Exchangeable within participant_group_id,61,115,2300
rgb_behavior_window_gee_exposure_change_abs_median__dprime_loglinear,GaussianGEE_cluster,rgb_behavior_window_gee,exposure_change_abs_median,dprime_loglinear,0.00010255689329125913,0.00011165727090879288,-0.0001162913576899749,0.0003214051442724932,estimable,probe,Exchangeable within participant_group_id,61,115,2300
