model_name,model_family,analysis,outcome,predictor,estimate_per_predictor_sd,se,ci_low,ci_high,status,observation_unit,correlation_structure,participant_group_n,session_n,n_rows
rgb_mmwave_window_gee_body_motion_energy_median__mmwave_motion_proxy_median,GaussianGEE_cluster,rgb_mmwave_window_gee,body_motion_energy_median,mmwave_motion_proxy_median,0.001054766144419644,0.0014764948365952786,-0.0018391637353071019,0.0039486960241463896,estimable,probe,Exchangeable within participant_group_id,58,109,2180
rgb_mmwave_window_gee_body_motion_energy_median__mmwave_hr_fused_bpm_median,GaussianGEE_cluster,rgb_mmwave_window_gee,body_motion_energy_median,mmwave_hr_fused_bpm_median,0.0016852120128696953,0.0035417937426667143,-0.005256703722757065,0.008627127748496456,estimable,probe,Exchangeable within participant_group_id,58,109,2180
rgb_mmwave_window_gee_body_motion_energy_median__mmwave_breath_rate_breaths_per_min_median,GaussianGEE_cluster,rgb_mmwave_window_gee,body_motion_energy_median,mmwave_breath_rate_breaths_per_min_median,0.002431518195662371,0.0021522396695038003,-0.0017868715565650772,0.006649907947889819,estimable,probe,Exchangeable within participant_group_id,58,109,2180
rgb_mmwave_window_gee_exposure_change_abs_median__mmwave_motion_proxy_median,GaussianGEE_cluster,rgb_mmwave_window_gee,exposure_change_abs_median,mmwave_motion_proxy_median,0.00011132774072717067,6.528075760972856e-05,-1.6622544187897318e-05,0.00023927802564223865,estimable,probe,Exchangeable within participant_group_id,58,109,2180
rgb_mmwave_window_gee_exposure_change_abs_median__mmwave_hr_fused_bpm_median,GaussianGEE_cluster,rgb_mmwave_window_gee,exposure_change_abs_median,mmwave_hr_fused_bpm_median,4.0869913410855366e-05,0.00018451259061136972,-0.0003207747641874293,0.00040251459100914004,estimable,probe,Exchangeable within participant_group_id,58,109,2180
rgb_mmwave_window_gee_exposure_change_abs_median__mmwave_breath_rate_breaths_per_min_median,GaussianGEE_cluster,rgb_mmwave_window_gee,exposure_change_abs_median,mmwave_breath_rate_breaths_per_min_median,4.248920894951516e-05,9.764067910298669e-05,-0.00014888652209233875,0.00023386493999136905,estimable,probe,Exchangeable within participant_group_id,58,109,2180
rgb_mmwave_window_gee_pose_lateral_right_per_sec_median__mmwave_motion_proxy_median,GaussianGEE_cluster,rgb_mmwave_window_gee,pose_lateral_right_per_sec_median,mmwave_motion_proxy_median,1.616907280488169e-05,1.557517218418517e-05,-1.435826467612124e-05,4.6696410285884614e-05,estimable,probe,Exchangeable within participant_group_id,58,109,2180
rgb_mmwave_window_gee_pose_lateral_right_per_sec_median__mmwave_hr_fused_bpm_median,GaussianGEE_cluster,rgb_mmwave_window_gee,pose_lateral_right_per_sec_median,mmwave_hr_fused_bpm_median,3.9835703452650525e-06,1.4594081070203652e-05,-2.4620828552334108e-05,3.258796924286421e-05,estimable,probe,Exchangeable within participant_group_id,58,109,2180
rgb_mmwave_window_gee_pose_lateral_right_per_sec_median__mmwave_breath_rate_breaths_per_min_median,GaussianGEE_cluster,rgb_mmwave_window_gee,pose_lateral_right_per_sec_median,mmwave_breath_rate_breaths_per_min_median,-6.509255943273888e-06,1.6558486359476116e-05,-3.896388920784708e-05,2.5945377321299303e-05,estimable,probe,Exchangeable within participant_group_id,58,109,2180
rgb_mmwave_window_gee_pose_vertical_up_per_sec_median__mmwave_motion_proxy_median,GaussianGEE_cluster,rgb_mmwave_window_gee,pose_vertical_up_per_sec_median,mmwave_motion_proxy_median,-1.023480262041159e-05,4.2911472914043154e-05,-9.434128953193617e-05,7.387168429111299e-05,estimable,probe,Exchangeable within participant_group_id,58,109,2180
rgb_mmwave_window_gee_pose_vertical_up_per_sec_median__mmwave_hr_fused_bpm_median,GaussianGEE_cluster,rgb_mmwave_window_gee,pose_vertical_up_per_sec_median,mmwave_hr_fused_bpm_median,3.591321438277263e-05,4.7229608458830274e-05,-5.665681819653471e-05,0.00012848324696207997,estimable,probe,Exchangeable within participant_group_id,58,109,2180
rgb_mmwave_window_gee_pose_vertical_up_per_sec_median__mmwave_breath_rate_breaths_per_min_median,GaussianGEE_cluster,rgb_mmwave_window_gee,pose_vertical_up_per_sec_median,mmwave_breath_rate_breaths_per_min_median,1.764412896362708e-05,3.414628944881966e-05,-4.928259835605944e-05,8.457085628331361e-05,estimable,probe,Exchangeable within participant_group_id,58,109,2180
rgb_mmwave_window_gee_pose_radial_proximity_direction_score_median__mmwave_motion_proxy_median,GaussianGEE_cluster,rgb_mmwave_window_gee,pose_radial_proximity_direction_score_median,mmwave_motion_proxy_median,-0.00876304063491847,0.007010099754579114,-0.022502836153893535,0.0049767548840565935,estimable,probe,Exchangeable within participant_group_id,58,109,2180
rgb_mmwave_window_gee_pose_radial_proximity_direction_score_median__mmwave_hr_fused_bpm_median,GaussianGEE_cluster,rgb_mmwave_window_gee,pose_radial_proximity_direction_score_median,mmwave_hr_fused_bpm_median,-0.002089109900898878,0.006623804566938167,-0.015071766852097686,0.010893547050299929,estimable,probe,Exchangeable within participant_group_id,58,109,2180
rgb_mmwave_window_gee_pose_radial_proximity_direction_score_median__mmwave_breath_rate_breaths_per_min_median,GaussianGEE_cluster,rgb_mmwave_window_gee,pose_radial_proximity_direction_score_median,mmwave_breath_rate_breaths_per_min_median,0.008166303308132174,0.006265494999296343,-0.004114066890488658,0.020446673506753006,estimable,probe,Exchangeable within participant_group_id,58,109,2180
rgb_mmwave_window_gee_blink_event_rate_per_min__mmwave_motion_proxy_median,GaussianGEE_cluster,rgb_mmwave_window_gee,blink_event_rate_per_min,mmwave_motion_proxy_median,0.6253205272517927,0.24492568789939423,0.14526617896897998,1.1053748755346053,estimable,probe,Exchangeable within participant_group_id,57,105,2100
rgb_mmwave_window_gee_blink_event_rate_per_min__mmwave_hr_fused_bpm_median,GaussianGEE_cluster,rgb_mmwave_window_gee,blink_event_rate_per_min,mmwave_hr_fused_bpm_median,-0.37388296893966194,0.4792352369991733,-1.3131840334580416,0.5654180955787178,estimable,probe,Exchangeable within participant_group_id,57,105,2100
rgb_mmwave_window_gee_blink_event_rate_per_min__mmwave_breath_rate_breaths_per_min_median,GaussianGEE_cluster,rgb_mmwave_window_gee,blink_event_rate_per_min,mmwave_breath_rate_breaths_per_min_median,-0.1755709535670725,0.307265739004532,-0.7778118020159552,0.4266698948818102,estimable,probe,Exchangeable within participant_group_id,57,105,2100
