model_name,model_family,outcome,predictor,contrast_category,reference_category,estimate_per_predictor_sd,se,ci_low,ci_high,status,observation_unit,participant_group_n,session_n,n_rows
Q1_body_motion_energy_median,MNLogit_cluster_robust,q1_nominal_4class,body_motion_energy_median,2,1,0.01265408383809708,0.11398712200474373,-0.21076067529120063,0.23606884296739478,estimable,probe,61,115,2300
Q1_body_motion_energy_median,MNLogit_cluster_robust,q1_nominal_4class,body_motion_energy_median,3,1,-0.39220937079576756,0.25285680827371315,-0.8878087150122453,0.10338997342071021,estimable,probe,61,115,2300
Q1_body_motion_energy_median,MNLogit_cluster_robust,q1_nominal_4class,body_motion_energy_median,4,1,0.24440804978175146,0.28717053865919523,-0.3184462059902712,0.8072623055537741,estimable,probe,61,115,2300
Q1_exposure_change_abs_median,MNLogit_cluster_robust,q1_nominal_4class,exposure_change_abs_median,2,1,0.05229253773961042,0.10018239099029404,-0.14406494860136587,0.24865002408058673,estimable,probe,61,115,2300
Q1_exposure_change_abs_median,MNLogit_cluster_robust,q1_nominal_4class,exposure_change_abs_median,3,1,-0.44930283160782925,0.2899208871185594,-1.0175477703602056,0.11894210714454712,estimable,probe,61,115,2300
Q1_exposure_change_abs_median,MNLogit_cluster_robust,q1_nominal_4class,exposure_change_abs_median,4,1,0.12856127496632253,0.20952093855735154,-0.2820997646060865,0.5392223145387316,estimable,probe,61,115,2300
Q1_pose_lateral_right_per_sec_median,MNLogit_cluster_robust,q1_nominal_4class,pose_lateral_right_per_sec_median,2,1,-0.11915238747901587,0.05117290368256197,-0.21945127869683734,-0.01885349626119441,estimable,probe,61,115,2300
Q1_pose_lateral_right_per_sec_median,MNLogit_cluster_robust,q1_nominal_4class,pose_lateral_right_per_sec_median,3,1,-0.10848336116641363,0.13138528196949859,-0.36599851382663084,0.1490317914938036,estimable,probe,61,115,2300
Q1_pose_lateral_right_per_sec_median,MNLogit_cluster_robust,q1_nominal_4class,pose_lateral_right_per_sec_median,4,1,-0.08738142229423966,0.060017404738664494,-0.20501553558202207,0.030252690993542747,estimable,probe,61,115,2300
Q1_pose_vertical_up_per_sec_median,MNLogit_cluster_robust,q1_nominal_4class,pose_vertical_up_per_sec_median,2,1,-0.10146038352950078,0.05552856928845687,-0.21029637933487624,0.007375612275874688,estimable,probe,61,115,2300
Q1_pose_vertical_up_per_sec_median,MNLogit_cluster_robust,q1_nominal_4class,pose_vertical_up_per_sec_median,3,1,-0.07545165500255252,0.08139418057907556,-0.2349842489375406,0.08408093893243557,estimable,probe,61,115,2300
Q1_pose_vertical_up_per_sec_median,MNLogit_cluster_robust,q1_nominal_4class,pose_vertical_up_per_sec_median,4,1,-0.22021809791068533,0.10299877886248211,-0.4220957044811503,-0.018340491340220394,estimable,probe,61,115,2300
Q1_pose_radial_proximity_direction_score_median,MNLogit_cluster_robust,q1_nominal_4class,pose_radial_proximity_direction_score_median,2,1,-0.08624563411073116,0.05768669187433469,-0.19931155018442714,0.026820281962964834,estimable,probe,61,115,2300
Q1_pose_radial_proximity_direction_score_median,MNLogit_cluster_robust,q1_nominal_4class,pose_radial_proximity_direction_score_median,3,1,-0.08596922310507364,0.10099803430329281,-0.2839253703395275,0.11198692412938026,estimable,probe,61,115,2300
Q1_pose_radial_proximity_direction_score_median,MNLogit_cluster_robust,q1_nominal_4class,pose_radial_proximity_direction_score_median,4,1,-0.14888004622376833,0.08157319365346287,-0.3087635057845556,0.011003413337018902,estimable,probe,61,115,2300
Q1_blink_event_rate_per_min,MNLogit_cluster_robust,q1_nominal_4class,blink_event_rate_per_min,2,1,0.10267329945726802,0.12105739950725182,-0.13459920357694555,0.3399458024914816,estimable,probe,60,110,2200
Q1_blink_event_rate_per_min,MNLogit_cluster_robust,q1_nominal_4class,blink_event_rate_per_min,3,1,0.14180889980037834,0.18455914164602702,-0.2199270178258346,0.5035448174265913,estimable,probe,60,110,2200
Q1_blink_event_rate_per_min,MNLogit_cluster_robust,q1_nominal_4class,blink_event_rate_per_min,4,1,0.307252286456919,0.2987030140907253,-0.2782056211609026,0.8927101940747406,estimable,probe,60,110,2200
